"dispute_id";"listing_id";"user_id";"issue_description";"resolution_status"
1;1;1;"Boundary dispute with neighboring property in Kilimani.";"pending"
2;3;4;"Seller did not provide full documentation for Eldoret property.";"resolved"
3;5;1;"Claims of double ownership for Karen land.";"pending"
4;8;4;"Incorrect land size registered in Nakuru Town.";"resolved"
5;10;10;"Land ownership transfer delayed for Machakos property.";"pending"
6;12;7;"Seller changed selling price after agreement in Kitengela.";"pending"
7;2;1;"Fraudulent listing in Nyali, buyer misled.";"resolved"
8;6;7;"Westlands land had unpaid property tax issues.";"pending"
9;9;10;"Multiple ownership claims on Kakamega land.";"pending"
10;4;4;"Confusion over zoning restrictions in Kisumu.";"resolved"
11;7;1;"Seller provided forged documents for Malindi.";"pending"
12;11;7;"Incomplete documentation for Ruiru property.";"resolved"
