"legal_id";"user_id";"listing_id";"assistance_type";"status";"request_date"
1;3;1;"Verification of land ownership documents.";"active";"2025-02-03 13:24:13"
2;6;3;"Mediation for ownership dispute in Eldoret.";"closed";"2025-02-03 13:24:13"
3;3;5;"Fraud investigation for Karen property.";"active";"2025-02-03 13:24:13"
4;9;8;"Title deed verification for Nakuru land.";"active";"2025-02-03 13:24:13"
5;12;10;"Legal representation in Kakamega land case.";"closed";"2025-02-03 13:24:13"
6;3;12;"Property boundary review for Kitengela.";"active";"2025-02-03 13:24:13"
7;6;6;"Dispute resolution for Westlands property.";"active";"2025-02-03 13:24:13"
8;9;9;"Land inheritance case in Kakamega.";"closed";"2025-02-03 13:24:13"
9;3;4;"Government land verification in Kisumu.";"active";"2025-02-03 13:24:13"
10;6;7;"Assisting buyer in Malindi property dispute.";"closed";"2025-02-03 13:24:13"
11;9;11;"Title transfer process review in Ruiru.";"active";"2025-02-03 13:24:13"
12;3;2;"Legal consultation on property laws.";"closed";"2025-02-03 13:24:13"
